name,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Here You Come Again,179491,67,0.585,0.511,1,-9.37,1,0.0391,0.647,0.007,0.0392,0.552,105.898,4,1
Take Your Time,243706,67,0.558,0.719,11,-5.603,1,0.0419,0.101,0.0,0.212,0.483,158.031,4,1
Burnin' It Down,219160,67,0.681,0.795,6,-6.652,1,0.049,0.305,9.41e-06,0.109,0.64,135.939,4,1
Don't Rock the Jukebox,171066,66,0.641,0.637,7,-10.92,1,0.0262,0.0495,0.000138,0.267,0.793,147.502,4,1
Just To See You Smile,215173,69,0.492,0.823,6,-8.526,1,0.0297,0.127,0.0,0.0523,0.702,94.342,4,1
Automatic,247826,66,0.591,0.703,10,-6.211,1,0.0256,0.0435,2.34e-06,0.145,0.402,95.993,4,1
Don't It Make My Brown Eyes Blue,157653,66,0.736,0.321,6,-13.474,1,0.0444,0.799,0.00897,0.0619,0.342,84.928,4,1
"Jesus, Take the Wheel",226493,65,0.359,0.518,2,-3.537,1,0.0302,0.665,0.0,0.106,0.135,76.572,4,1
Rose Garden,175866,65,0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064,4,1
God Gave Me You,229533,64,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,4,1
"Love Without End, Amen",187000,64,0.645,0.442,9,-12.997,1,0.0256,0.397,0.0,0.121,0.554,88.491,4,1
Just Got Started Lovin' You,234640,64,0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001,4,1
Ain't Nothing 'Bout You,199413,64,0.325,0.887,0,-4.199,1,0.0569,0.144,1.35e-06,0.431,0.705,202.339,4,1
This One's for the Girls,243160,63,0.613,0.801,8,-4.431,1,0.0354,0.0626,1.15e-05,0.124,0.609,126.966,4,1
I Swear,262520,63,0.628,0.496,1,-7.103,1,0.0233,0.242,1.2e-05,0.147,0.266,85.523,4,1
I Will Always Love You,176093,63,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,4,1
Our Song,201106,75,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,4,1
I Cross My Heart - Pure Country Soundtrack Version,212000,63,0.526,0.442,3,-10.133,1,0.0259,0.267,5.49e-05,0.106,0.284,131.055,4,1
19 Somethin' - Greatest Hits Version,200466,63,0.58,0.816,4,-5.165,1,0.0726,0.132,0.0,0.0776,0.814,89.938,4,1
That's What I Love About Sunday,201493,63,0.6,0.56,8,-6.311,1,0.0325,0.479,0.0,0.111,0.417,139.469,4,1
Coal Miner's Daughter - Single Version,180960,63,0.604,0.354,9,-14.07,1,0.0313,0.836,0.00474,0.103,0.635,137.349,4,1
Convoy,230600,62,0.68,0.543,5,-14.876,1,0.141,0.857,0.000116,0.0881,0.796,111.62,4,1
Peter Pan,200040,68,0.514,0.659,1,-6.142,1,0.0309,0.0284,0.0,0.266,0.463,76.483,4,1
Act Naturally,143693,62,0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156,4,1
Don't Blink,285280,61,0.604,0.605,4,-8.516,1,0.0352,0.115,1.22e-05,0.305,0.647,147.925,4,1
Amazed,239986,60,0.557,0.553,1,-7.954,1,0.0319,0.247,0.0,0.125,0.253,139.821,4,1
My Church,197930,71,0.517,0.743,9,-4.336,1,0.0363,0.243,3.36e-06,0.107,0.664,76.979,4,1
High Cotton,180320,60,0.661,0.581,5,-9.67,1,0.032,0.423,0.0,0.11,0.863,91.11,4,1
How Do You Like Me Now?!,205920,60,0.64,0.835,0,-4.806,1,0.0413,0.0726,3.11e-06,0.132,0.704,109.497,4,1
Daddy Sang Bass,140440,60,0.681,0.638,4,-7.818,1,0.0367,0.699,0.000629,0.0581,0.677,96.882,4,1
Fightin Side Of Me,174666,59,0.75,0.451,4,-13.355,1,0.048,0.512,0.0,0.272,0.743,95.483,4,1
You Look So Good In Love,193400,59,0.642,0.233,9,-16.568,1,0.0298,0.435,0.0,0.105,0.333,114.495,3,1
Islands In the Stream,249293,59,0.595,0.473,8,-9.828,1,0.0347,0.702,0.0,0.0725,0.716,204.016,4,1
Pickup Man,216693,59,0.709,0.757,7,-7.006,1,0.0408,0.434,0.0,0.336,0.852,140.664,4,1
"Love, Me",231506,59,0.686,0.234,0,-12.646,1,0.0295,0.742,0.0,0.145,0.342,106.581,4,1
Big City,179333,59,0.707,0.401,4,-14.222,1,0.0533,0.275,0.000296,0.201,0.602,136.188,4,1
Killin' Time,168000,59,0.714,0.522,7,-9.773,1,0.0283,0.455,1.02e-05,0.0967,0.69,121.312,4,1
When I Call Your Name,255133,58,0.506,0.11,5,-17.615,1,0.0307,0.35,0.00144,0.139,0.208,70.554,3,1
Every Which Way but Loose - 2009 Remaster,171653,57,0.598,0.483,7,-7.474,1,0.0292,0.458,7.88e-06,0.36,0.452,130.663,4,1
Two Dozen Roses,223613,57,0.695,0.502,4,-12.01,1,0.0279,0.327,0.0,0.097,0.543,117.083,4,1
Should've Been A Cowboy,209866,56,0.579,0.731,7,-5.659,1,0.0323,0.244,0.0,0.297,0.618,133.582,4,1
Mind Your Own Business,148440,56,0.568,0.698,9,-4.733,1,0.0436,0.0459,0.0,0.095,0.872,164.371,4,1
"Luckenbach, Texas (Back to the Basics of Love) (feat. Willie Nelson)",200493,56,0.684,0.45,7,-10.422,1,0.0332,0.704,0.00191,0.243,0.639,102.902,4,1
Lost In The Fifties Tonight,258346,55,0.492,0.216,5,-16.121,1,0.0283,0.639,6.53e-05,0.0598,0.145,168.817,3,1
Have Mercy,203733,54,0.858,0.66,2,-7.953,1,0.029,0.231,0.0,0.189,0.933,123.299,4,1
Don't Let Our Love Start Slippin' Away,223533,55,0.739,0.717,3,-9.568,1,0.0308,0.417,0.000918,0.334,0.663,113.234,4,1
The Good Stuff,199586,54,0.586,0.675,7,-7.819,1,0.0776,0.26,0.0,0.144,0.473,143.92,4,1
Hello Darlin' - Single Version,145866,54,0.354,0.276,0,-14.999,1,0.0295,0.745,1.35e-06,0.11,0.427,82.787,3,1
Black Sheep,177693,54,0.596,0.626,7,-12.945,1,0.0634,0.402,0.0,0.0498,0.962,155.556,4,1
Teddy Bear,299746,53,0.59,0.398,1,-16.012,1,0.38,0.781,0.0,0.0683,0.724,109.634,3,1
My Heart Skips A Beat,148320,53,0.609,0.569,9,-6.359,1,0.0371,0.285,0.0,0.0586,0.787,86.583,4,1
It's Just a Matter of Time,235920,52,0.259,0.59,3,-8.343,1,0.0363,0.472,0.00128,0.135,0.474,201.016,3,1
Dancin’ In The Country,179645,72,0.655,0.869,7,-4.807,1,0.0633,0.00408,0.0,0.104,0.541,114.984,4,1
Wasted On You,178520,86,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3,1
Thinkin’ Bout Me,177387,87,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,4,1
HEARTFIRST,187016,61,0.662,0.855,0,-3.742,1,0.0457,0.021,0.0,0.228,0.84,120.079,4,1
Thousand Miles (feat. Brandi Carlile),231000,79,0.503,0.722,9,-7.595,1,0.103,0.205,3.52e-05,0.0845,0.354,172.006,4,1
Stop Draggin' Your Boots,164347,66,0.463,0.76,2,-5.958,1,0.11,0.0379,0.0,0.115,0.65,123.899,4,1
One Man Band,186240,76,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,4,1
Thinking 'Bout You (feat. MacKenzie Porter),170560,76,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,4,1
I Hope,210772,75,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,4,1
Self Love,171013,61,0.653,0.666,2,-5.488,1,0.0655,0.0407,0.0,0.234,0.359,139.93,4,1
goodbye looks good on you (feat. Mitchell Tenpenny),171080,63,0.667,0.671,1,-4.2,0,0.0496,0.413,0.0,0.0809,0.695,83.962,4,1
The Bones,197293,75,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,4,1
Worth It,183107,51,0.515,0.661,1,-6.776,1,0.0366,0.0957,0.0,0.0985,0.376,155.928,4,1
You Proof,157477,81,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4,1
Somebody Like That,198208,72,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034,4,1
5 Foot 9,189780,74,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,4,1
Water Under The Bridge,169760,75,0.635,0.866,5,-2.695,1,0.0473,0.0697,0.0,0.0955,0.853,133.889,4,1
The Good Ones,215140,74,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,4,1
I Quit Drinking,171200,74,0.607,0.418,1,-6.997,1,0.0363,0.394,0.0,0.182,0.386,95.002,4,1
Runnin (with JP Saxe),206760,60,0.543,0.448,0,-7.469,1,0.028,0.651,0.0,0.11,0.595,144.967,4,1
Brown Eyes Baby,224333,73,0.521,0.833,8,-6.992,1,0.0313,0.0906,3.13e-06,0.0647,0.581,141.944,4,1
Be Like That - feat. Swae Lee & Khalid,191406,73,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,4,1
Take My Name,157906,72,0.559,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,4,1
One Of Them Girls,188893,72,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,4,1
If I Didn't Love You,212030,72,0.456,0.679,1,-4.802,1,0.0324,0.176,0.0,0.103,0.483,184.075,4,1
Somethin' Bout You,156906,71,0.667,0.826,4,-3.412,1,0.0266,0.0979,0.0,0.151,0.665,112.041,4,1
23,179720,70,0.641,0.78,3,-5.138,1,0.0852,0.0206,0.0,0.143,0.693,98.004,4,1
Wasted (feat. Kodak Black & Koe Wetzel),155495,70,0.674,0.753,3,-3.226,1,0.0388,0.00264,1.76e-06,0.0599,0.292,139.99,4,1
Chasing After You (with Maren Morris),207973,68,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,4,1
That’s Not How This Works (feat. Dan + Shay),165619,82,0.584,0.576,9,-4.557,1,0.0519,0.507,0.0,0.212,0.432,170.026,4,1
Just the Way,193880,70,0.544,0.829,9,-2.84,1,0.0404,0.107,0.0,0.317,0.815,90.048,4,1
Memory,153337,71,0.434,0.889,9,-5.684,1,0.0509,0.395,0.0,0.273,0.845,113.326,5,1
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),189495,68,0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201,4,1
One Too Many,203893,68,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,4,1
Lay It On Me,189720,55,0.404,0.692,10,-4.451,1,0.0299,0.0419,0.0,0.146,0.334,68.794,4,1
Giddy Up!,162665,68,0.779,0.692,3,-3.59,0,0.0598,0.0024,0.0,0.482,0.67,103.99,4,1
She Likes It (feat. Jake Scott),163311,67,0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877,4,1
I GUESS THEY CALL IT FALLIN',241420,54,0.522,0.83,11,-5.793,0,0.0646,0.141,0.0,0.0818,0.466,163.929,4,1
Dancin' In The Moonlight (feat. Lauren Alaina),199000,67,0.589,0.829,8,-4.861,0,0.0332,0.0196,0.0,0.128,0.563,121.998,4,1
Blindsided,170906,76,0.667,0.581,0,-5.89,1,0.0375,0.227,0.0,0.112,0.407,122.016,4,1
Drink Had Me,156200,67,0.699,0.642,11,-5.246,1,0.0319,0.376,0.0,0.0848,0.796,94.974,4,1
What If I Don't,201544,67,0.524,0.806,4,-5.785,1,0.0522,0.0521,0.0,0.189,0.568,143.923,4,1
Just Say I'm Sorry,214013,66,0.347,0.267,9,-6.927,1,0.0381,0.87,0.0009,0.091,0.0922,154.706,3,1
Wishful Drinking (with Sam Hunt),194544,66,0.678,0.528,10,-7.317,1,0.0551,0.289,0.0,0.0734,0.614,79.018,4,1
We Got History,203680,75,0.628,0.833,0,-6.327,1,0.0311,0.0014,0.0,0.104,0.309,98.025,4,1
One Mississippi,213718,66,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,4,1
ONE BEER (feat. Lauren Alaina & Devin Dawson),173173,65,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006,3,1
Glad You Exist,144533,65,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,4,1
when was it over? (feat. Sam Hunt),218093,65,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958,4,1
Better Version (feat. Kelsea Ballerini),173893,65,0.511,0.363,8,-9.164,0,0.0477,0.847,0.0,0.34,0.344,86.617,4,1
Single Saturday Night,187683,64,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,4,1
I Still Love You,224149,64,0.697,0.518,0,-5.894,1,0.0294,0.771,0.0,0.11,0.604,129.974,4,1
Almost Maybes,179152,64,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,4,1
No Bad Days (featuring Jimmie Allen),145499,62,0.68,0.556,1,-7.258,1,0.054,0.151,2.87e-06,0.0776,0.606,81.984,4,1
Where We Started,182026,62,0.6,0.533,2,-6.555,1,0.0256,0.272,0.0,0.0927,0.626,139.94,4,1
Found It In You,183444,54,0.426,0.691,5,-4.911,0,0.0376,0.409,0.0,0.105,0.669,160.044,4,1
Steal My Love,162120,62,0.59,0.633,2,-5.452,1,0.0328,0.619,0.0,0.157,0.751,179.856,4,1
Nobody,160706,62,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,4,1
Waves,228440,62,0.494,0.771,1,-4.309,1,0.0626,0.0649,0.0,0.11,0.371,136.053,4,1
Better Liar,169736,56,0.621,0.797,11,-5.964,1,0.0376,0.0648,0.0,0.179,0.643,150.054,4,1
Grand,178973,62,0.583,0.856,6,-5.446,0,0.0445,0.00484,0.0,0.224,0.48,168.053,4,1
Giving You Up,230842,62,0.53,0.848,8,-3.833,1,0.0427,0.0366,0.0,0.172,0.749,143.953,4,1
Pickup,168447,62,0.614,0.837,1,-3.967,1,0.0255,0.45,2.49e-05,0.115,0.862,96.977,5,1
Till There's Nothing Left,195515,61,0.577,0.634,2,-6.905,1,0.0365,0.00339,0.000332,0.209,0.335,75.752,4,1
la di da,178813,47,0.68,0.728,11,-4.199,1,0.0279,0.00851,0.0,0.346,0.433,110.042,4,1
Fancy Like (feat. Kesha),161853,61,0.637,0.795,1,-6.054,1,0.072,0.128,0.0,0.266,0.808,80.052,4,1
Keith,171537,61,0.6,0.861,9,-4.214,1,0.136,0.000838,0.00112,0.0623,0.49,103.06,4,1
Baby I Am,176573,61,0.514,0.693,1,-6.428,1,0.0528,0.0961,0.0,0.071,0.46,156.039,4,1
Make Me Want To,172280,61,0.519,0.872,2,-3.212,1,0.0616,0.0793,0.0,0.111,0.74,179.965,4,1
Line By Line (feat. Maren Morris),208186,61,0.645,0.486,0,-7.299,1,0.0425,0.274,0.0,0.135,0.453,72.536,4,1
Anything She Says,169154,61,0.612,0.621,7,-5.657,1,0.0734,0.169,0.0,0.137,0.883,185.857,4,1
breadwinner,200840,61,0.866,0.508,8,-8.591,0,0.058,0.769,8.35e-06,0.11,0.476,117.951,4,1
Bets On Us,180959,61,0.52,0.787,8,-4.768,1,0.0536,0.103,0.0,0.305,0.573,170.059,4,1
Sorry,188960,60,0.508,0.843,7,-4.133,0,0.0579,0.0774,0.0,0.0485,0.714,177.914,4,1
Just Drive,147693,60,0.714,0.766,6,-4.42,1,0.0365,0.0957,0.00183,0.0595,0.665,114.964,4,1
Cowgirls (feat. ERNEST),181621,59,0.622,0.782,8,-3.78,1,0.0351,0.199,5.5e-06,0.159,0.374,172.032,4,1
X's,154606,59,0.491,0.692,7,-4.818,1,0.0736,0.0231,0.0,0.107,0.591,184.14,4,1
london,266219,59,0.568,0.495,9,-7.669,1,0.0385,0.585,0.000198,0.132,0.217,83.919,4,1
Always Gonna Love You,177026,58,0.543,0.723,6,-4.892,1,0.0499,0.165,0.0,0.11,0.428,143.028,4,1
Lost My Heartbreak,157213,58,0.56,0.802,11,-5.428,1,0.0373,0.0863,0.0,0.116,0.423,103.059,3,1
Bottle’s Bout Dead (feat. ERNEST),150909,58,0.65,0.523,11,-8.368,1,0.0317,0.0686,0.0,0.0949,0.523,132.03,4,1
justified,180800,61,0.669,0.552,0,-7.98,1,0.0587,0.807,0.000874,0.321,0.488,100.102,4,1
Breakups,223129,58,0.531,0.552,1,-5.945,1,0.0309,0.436,0.0,0.0786,0.328,74.931,3,1
Home Sweet,205946,60,0.58,0.813,11,-5.621,1,0.0414,0.0386,1.44e-06,0.0926,0.473,120.973,4,1
Made,195459,57,0.526,0.729,5,-4.363,1,0.0333,0.147,0.0,0.103,0.543,140.978,4,1
Ghost Story,181400,57,0.479,0.742,7,-5.587,1,0.0539,0.0069,0.000834,0.278,0.454,142.909,3,1
Coulda Loved You Longer,176413,57,0.634,0.621,11,-6.261,1,0.0811,0.334,0.0,0.459,0.741,93.034,4,1
Good Beer,174111,57,0.702,0.778,6,-4.25,1,0.0287,0.302,0.0,0.126,0.879,91.014,4,1
Good Day,205626,56,0.514,0.685,10,-7.27,1,0.0307,0.0356,9.73e-06,0.157,0.393,85.017,4,1
Nightfalls,220892,56,0.635,0.947,6,-3.618,0,0.109,0.00504,9.45e-06,0.045,0.588,100.996,4,1
Paying For It,191087,56,0.528,0.802,2,-4.467,1,0.0403,0.0254,0.0,0.211,0.625,177.907,4,1
Woman You Got,177951,56,0.523,0.896,10,-3.556,1,0.0575,0.105,0.0,0.143,0.729,169.94,4,1
Can't Do Without Me,201146,56,0.602,0.928,1,-3.601,1,0.0859,0.016,0.0,0.105,0.429,123.121,4,1
Between You & Me (feat. Ashley Cooke),169019,55,0.629,0.615,4,-7.645,1,0.0326,0.00709,0.0,0.0905,0.639,99.968,4,1
Love Is Real,162973,55,0.645,0.732,3,-5.089,1,0.0453,0.00853,2.62e-05,0.198,0.708,95.02,4,1
I Can't Take You Anywhere,211850,57,0.558,0.633,10,-6.764,1,0.0696,0.0471,0.0,0.0855,0.39,79.921,4,1
Pink Champagne,203600,55,0.632,0.891,9,-3.474,1,0.0705,0.00227,0.0,0.167,0.744,109.824,4,1
Praise The Lord (feat. Thomas Rhett),160289,55,0.826,0.603,1,-7.659,0,0.0737,0.0474,0.0,0.0831,0.681,107.494,4,1
Leave You Alone,214238,55,0.447,0.538,5,-7.258,1,0.0338,0.119,0.0,0.188,0.453,123.746,3,1
I Wonder,206493,55,0.373,0.845,0,-3.748,1,0.0595,0.0933,0.0,0.134,0.606,201.81,4,1
